Date,AQI
2019-09-23,73.29166667
2019-09-24,63.79166667
2019-09-25,54.5
2019-09-26,54.16666667
2019-09-27,81.5
2019-09-28,70.29166667
2019-09-29,102.6666667
2019-09-30,72.04166667
2019-10-01,70.72727273
2019-10-02,74.29166667
2019-10-03,71.75
2019-10-04,81.875
2019-10-05,99.29411765
2019-10-06,68.20833333
2019-10-07,86.125
2019-10-08,84.41666667
2019-10-09,84.66666667
2019-10-10,82.30434783
2019-10-11,99.04166667
2019-10-12,94.16666667
2019-10-13,68.20833333
2019-10-14,81.29166667
2019-10-15,84.79166667
2019-10-16,68.45833333
2019-10-17,64.29166667
2019-10-18,69.79166667
2019-10-19,54.5
2019-10-20,59.375
2019-10-21,71.20833333
2019-10-22,42.125
2019-10-23,32.95454545
2019-10-24,36.69565217
2019-10-25,38.33333333
2019-10-26,40.625
2019-10-27,92.54166667
2019-10-28,115.7083333
2019-10-29,101.0
2019-10-30,68.5
2019-10-31,60.625
2019-11-01,74.08695652
2019-11-02,80.29166667
2019-11-03,92.33333333
2019-11-04,133.4166667
2019-11-05,159.9583333
2019-11-06,198.125
2019-11-07,191.6666667
2019-11-08,148.1363636
2019-11-09,115.875
2019-11-10,125.5
2019-11-11,172.7894737
2019-11-12,77.28571429
2019-11-13,83.2
2019-11-14,78.52941176
2019-11-15,73.5
2019-11-16,74.91666667
2019-11-17,70.0
2019-11-18,94.06666667
2019-11-19,74.375
2019-11-20,71.75
2019-11-21,90.20833333
2019-11-22,94.65217391
2019-11-23,86.125
2019-11-24,99.54545455
2019-11-25,88.52941176
2019-11-26,98.45833333
2019-11-27,91.70833333
2019-11-28,72.54166667
2019-11-29,72.08333333
2019-11-30,72.66666667
2019-12-01,64.75
2019-12-02,61.45833333
2019-12-03,75.5
2019-12-04,88.375
2019-12-05,123.75
2019-12-06,125.2916667
2019-12-07,111.9
2019-12-08,69.33333333
2019-12-09,70.54166667
2019-12-10,72.08333333
2019-12-11,68.76923077
2019-12-12,84.7
2019-12-13,83.875
2019-12-14,74.0
2019-12-15,69.625
2019-12-16,79.83333333
2019-12-17,76.75
2019-12-18,106.5416667
2019-12-19,91.08333333
2019-12-20,102.047619
2019-12-21,102.0833333
2019-12-22,97.04166667
2019-12-23,95.08333333
2019-12-24,90.54166667
2019-12-25,75.125
2019-12-26,97.61904762
2019-12-27,92.45833333
2019-12-28,74.79166667
2019-12-29,79.95833333
2019-12-30,81.5
2019-12-31,87.125
2020-01-01,78.26086957
2020-01-02,73.54166667
2020-01-03,79.16666667
2020-01-04,146.5
2020-01-05,121.3478261
2020-01-06,78.375
2020-01-07,84.75
2020-01-08,85.08333333
2020-01-09,98.26086957
2020-01-10,93.54166667
2020-01-11,76.41666667
2020-01-12,91.95833333
2020-01-13,113.75
2020-01-14,134.2857143
2020-01-15,95.33333333
2020-01-16,104.7916667
2020-01-17,105.5
2020-01-18,83.18181818
2020-01-19,94.33333333
2020-01-20,101.3333333
2020-01-21,104.5833333
2020-01-22,84.69565217
2020-01-23,94.95833333
2020-01-24,101.2083333
2020-01-25,123.375
2020-01-26,121.0869565
2020-01-27,94.45833333
2020-01-28,116.6666667
2020-01-29,104.75
2020-01-30,138.0
2020-01-31,99.66666667
2020-02-01,115.625
2020-02-02,99.80952381
2020-02-03,87.45833333
2020-02-04,81.16666667
2020-02-05,69.5
2020-02-06,120.7142857
2020-02-07,123.5384615
2020-02-08,106.2857143
2020-02-09,234.5909091
2020-02-10,129.5909091
2020-02-11,78.76190476
2020-02-12,87.81818182
2020-02-13,97.18181818
2020-02-14,129.0952381
2020-02-15,144.3043478
2020-02-16,99.60869565
2020-02-17,95.76190476
2020-02-18,96.55
2020-02-19,100.6818182
